字段名称 (推测),数据类型,描述,备注
imie,字符串/整数,用户唯一标识,-
app_id,字符串/整数,应用唯一标识,关键字段，如果CPU和使用时间能关联到具体App，则分析更精确
timestamp,日期时间,数据记录时间戳,可能对应具体的使用会话或每日汇总
cpu_average,数值 (百分比/绝对值),用户（或用户使用某App时）的平均CPU使用率,最好是针对特定App的；如果是用户整体CPU，则反映用户在该时段的总体手机负载
cpu_peak,数值 (百分比/绝对值),用户（或用户使用某App时）的峰值CPU使用率,最好是针对特定App的；如果是用户整体CPU，则反映用户在该时段的总体手机负载
foreground_time,数值 (秒/分钟),用户（或用户使用某App时）的前台运行总时长（在某个观察周期内，如一天）,最好是针对特定App的；如果是用户整体CPU，则反映用户在该时段的总体手机负载
background_time,数值 (秒/分钟),用户（或用户使用某App时）的后台运行总时长（在某个观察周期内）,最好是针对特定App的；如果是用户整体CPU，则反映用户在该时段的总体手机负载
app_download_time,日期时间,用户下载某App的时间,针对特定App
app_uninstall_time,日期时间,用户卸载某App的时间,针对特定App
user_region,字符串,用户所在的地理区域信息 (例如：城市、省份),这是进行区域异常检测的基础
