相关性,特征名称 (区域级别),计算基础 (来自该区域内各App数据),描述,与广告异常的相关性,,,,,
CPU,区域_最大后台CPU使用率,该区域内所有App中，单个App后台CPU平均使用率的最大值,标识该区域是否存在至少一个App有极高的后台CPU消耗。,异常广告常驻后台，消耗大量CPU资源。,,,,,
CPU,区域_平均后台CPU使用率,该区域内所有App后台CPU平均使用率的均值,反映该区域App整体的后台CPU消耗水平。,如果整体偏高，可能意味着多个App存在类似问题或某种普遍的环境因素。,,,,,
CPU,区域_后台CPU超阈值App占比,该区域内，后台CPU平均使用率超过预设阈值 (例如20%) 的App数量 / 该区域总App数量,量化该区域有多少App表现出高后台CPU行为。,广告SDK可能导致多个App出现类似的高后台CPU占用。,,,,,
CPU,区域_最大峰值CPU使用率,该区域内所有App中，单个App峰值CPU使用率的最大值,标识该区域是否存在App瞬时CPU占用极高。,某些侵入式广告在展示或加载时可能导致CPU峰值。,,,,,
运行时间,区域_最大后台时间占比,该区域内所有App中，单个App的 后台运行时间 / (前台运行时间 + 后台运行时间) 的最大值,标识该区域是否存在App的绝大部分时间在后台运行。,恶意广告可能在用户不知情的情况下长时间后台运行。,,,,,
运行时间,区域_平均后台时间占比,该区域内所有App的 后台运行时间 / (前台运行时间 + 后台运行时间) 的平均值,反映该区域App整体的后台活跃程度。,整体后台活跃度异常可能指示区域性的问题。,,,,,
运行时间,区域_后台时间占比超阈值App数,该区域内，后台时间占比超过预设阈值 (例如70%) 的App数量,量化该区域有多少App主要在后台运行。,,,,,,
运行时间,区域_平均前台使用时长,该区域内所有App的平均前台使用时长。,反映用户在该区域与App的平均交互时长。,若结合高后台活动，过短的平均前台时长可能意味着用户因广告过多等不良体验而快速退出App。,,,,,
App生命周期,区域_最高卸载率App,该区域内所有App中，单个App的卸载率 (卸载数 / 下载数或活跃用户数) 的最大值,标识该区域是否存在卸载率极高的App。,广告过多导致用户体验差，从而卸载App。,,,,,
App生命周期,区域_平均卸载率,该区域内所有App卸载率的平均值。,反映该区域App的整体用户留存情况。,,,,,,
App生命周期,区域_短期卸载App占比,该区域内，下载后短时间（例如24小时内）即卸载的App占比。,标识“尝鲜后即卸载”的普遍程度。,侵入性广告可能导致用户在首次体验后迅速放弃。,,,,,
综合指标,区域_高后台CPU且高后台时间占比App数,该区域内，同时满足后台CPU超阈值 和 后台时间占比超阈值的App数量。,结合CPU和时间，更精确地定位潜在问题App。,这是异常广告行为的强指示信号。,,,,,
综合指标,区域_调度次数特征,该区域内App的平均/最大前后台调度次数或调度频率。,反映App前后台切换的频繁程度。,频繁的、非用户主动的调度可能与某些广告逻辑有关。,,,,,
,,,,,,,,,
